"Source:","/Users/hy_red_leaf/Documents/KiCad/6.0/projects/neutro_copy/avio_flight_instruments_meeting_1.kicad_sch"
"Date:","Sunday, October 30, 2022 at 05:42:09 PM"
"Tool:","Eeschema (6.0.7-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","A1","ADA3708","Flight_Instruments:ADA3708","ADA3708_RPI-ZERO","","Raspberry","","","MAnufactutrer Recommendations"
"","","BT1","S8411-45R","S8411-45R:S8411-45R","S8411-45R:BAT_S8411-45R","","Harwin","4.25mm","","Manufacturer Recommendations"
"","","BT2","S8411-45R","S8411-45R:S8411-45R","S8411-45R:BAT_S8411-45R","","Harwin","4.25mm","","Manufacturer Recommendations"
"","","C1","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C2","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C3","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C4","22p","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C5","2.2u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C6","22p","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C7","2.2u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C8","0.47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C9","22p","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C10","0.47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C11","22p","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C12","100 nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C13","10u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C14","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"","","L1","1.8n","Device:L_Small","","~","","","",""
"","","L2","47n","Device:L_Small","","~","","","",""
"","","L3","47n","Device:L_Small","","~","","","",""
"","","R1","2.2k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R2","2.2k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R3","10k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R4","DNI","Device:R_Small_US","","~","","","",""
"","","R5","0","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R6","0","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R7","4.7k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R8","4.7k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R9","220","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R10","10k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","R11","10k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"","","TP1","TestPoint","Connector:TestPoint","","~","","","",""
"","","U1","BNO055","Flight_Instruments:BNO055","LGA28R50P4X10_380X520X100","","BOSCH","","",""
"","","U2","M20050-1","Flight_Instruments:M20050-1","XCVR_M20050-1","","Antenova","2.0 mm","M20050-1-PS-2.01","Manufacturer Recommendations"
"","","U3","DS3231M",":DS3231M_1","DS3231M_TRL:SOIC127P1032X265-16N","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","","","",""
"","","U4","MS5803-01BA_Miniature_Altimeter_Module","Flight_Instruments:MS5803-01BA_Miniature_Altimeter_Module","avio_flight_instruments_meeting_1:MS5803-01BA_Miniature_Altimeter_Module","","","","",""
"","","U5","RFM96W-433S2",":RFM96W-433S2_1","RF_Module:HOPERF_RFM9XW_SMD","https://www.hoperf.com/data/upload/portal/20181127/5bfcc0ac60235.pdf","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","1","A1","ADA3708","Flight_Instruments:ADA3708","ADA3708_RPI-ZERO","","Raspberry","","","MAnufactutrer Recommendations"
"2","2","BT1, BT2","S8411-45R","S8411-45R:S8411-45R","S8411-45R:BAT_S8411-45R","","Harwin","4.25mm","","Manufacturer Recommendations"
"3","4","C1, C2, C3, C14","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"4","4","C4, C6, C9, C11","22p","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"5","2","C5, C7","2.2u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"6","2","C8, C10","0.47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"7","1","C12","100 nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"8","1","C13","10u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"9","1","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","",""
"10","1","L1","1.8n","Device:L_Small","","~","","","",""
"11","2","L2, L3","47n","Device:L_Small","","~","","","",""
"12","2","R1, R2","2.2k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"13","3","R3, R10, R11","10k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"14","1","R4","DNI","Device:R_Small_US","","~","","","",""
"15","2","R5, R6","0","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"16","2","R7, R8","4.7k","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"17","1","R9","220","Device:R_Small_US","Resistor_SMD:R_1206_3216Metric","~","","","",""
"18","1","TP1","TestPoint","Connector:TestPoint","","~","","","",""
"19","1","U1","BNO055","Flight_Instruments:BNO055","LGA28R50P4X10_380X520X100","","BOSCH","","",""
"20","1","U2","M20050-1","Flight_Instruments:M20050-1","XCVR_M20050-1","","Antenova","2.0 mm","M20050-1-PS-2.01","Manufacturer Recommendations"
"21","1","U3","DS3231M",":DS3231M_1","DS3231M_TRL:SOIC127P1032X265-16N","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","","","",""
"22","1","U4","MS5803-01BA_Miniature_Altimeter_Module","Flight_Instruments:MS5803-01BA_Miniature_Altimeter_Module","avio_flight_instruments_meeting_1:MS5803-01BA_Miniature_Altimeter_Module","","","","",""
"23","1","U5","RFM96W-433S2",":RFM96W-433S2_1","RF_Module:HOPERF_RFM9XW_SMD","https://www.hoperf.com/data/upload/portal/20181127/5bfcc0ac60235.pdf","","","",""
